Rank	Mantissa	Log	Amount	Code	Type	Amount	FirstTwo	First	Second		Diffs * 1000	First-Two	
			-0.05315			-0.02014	$20.00	$2.00	$0.00		10560	$10	
			-0.05304			0.00667	$66.00	$6.00	$6.00		12223	$12	
			-0.05292			-0.04801	$48.00	$4.00	$8.00		7978	$79	
			-0.05284			0.01449	$14.00	$1.00	$4.00		3096	$30	
			-0.05281			0.00686	$68.00	$6.00	$8.00		36029	$36	
			-0.05245			0.00000	$0.00	$0.00	#VALUE!		11600	$11	
			-0.05233			0.00000	$0.00	$0.00	#VALUE!		38617	$38	
			-0.05195			0.02157	$21.00	$2.00	$1.00		1823	$18	
			-0.05193			0.00000	$0.00	$0.00	#VALUE!		10561	$10	
			-0.05182			-0.00722	$72.00	$7.00	$2.00		1824	$18	
			-0.05181			-0.00672	$67.00	$6.00	$7.00		2603	$26	
			-0.05178			-0.01408	$14.00	$1.00	$4.00		3437	$34	
			-0.051745565			0.00686	$68.00	$6.00	$8.00		749	$74	
			-0.05174			-0.02100	$20.00	$2.00	$0.00		1394	$13	
			-0.05172			0.00696	$69.00	$6.00	$9.00		0	$0	
			-0.05172			-0.02879	$28.00	$2.00	$8.00		8095	$80	
			-0.05164			-0.02193	$21.00	$2.00	$1.00		17468	$17	
			-0.051468516			-0.01515	$15.00	$1.00	$5.00		13666	$13	
			-0.051331853			0.02277	$22.00	$2.00	$2.00		4163	$41	
			-0.05129			0.00000	$0.00	$0.00	#VALUE!		2881	$28	
			-0.05126			-0.03730	$37.00	$3.00	$7.00		2801	$28	
			-0.05123			0.01563	$15.00	$1.00	$5.00		52	$52	
			-0.05123			-0.02277	$22.00	$2.00	$2.00		8198	$81	
			-0.05115			0.00000	$0.00	$0.00	#VALUE!		5600	$56	
			-0.05109			-0.00819	$81.00	$8.00	$1.00		7448	$74	
			-0.05102			-0.02349	$23.00	$2.00	$3.00		6499	$64	
			-0.05096			-0.00845	$84.00	$8.00	$4.00		1604	$16	
			-0.05094			-0.02426	$24.00	$2.00	$4.00		51921	$51	
			-0.05042			0.01680	$16.00	$1.00	$6.00		565	$56	
			-0.05041			0.00793	$79.00	$7.00	$9.00		9194	$91	
			-0.05032			-0.01639	$16.00	$1.00	$6.00		14076	$14	
			-0.05018			0.01667	$16.00	$1.00	$6.00		1784	$17	
			-0.050163974			-0.04066	$40.00	$4.00	$0.00		8990	$89	
			-0.05007			-0.00889	$88.00	$8.00	$8.00		5251	$52	
			-0.05002			0.00897	$89.00	$8.00	$9.00		2156	$21	
			-0.05000			0.02529	$25.00	$2.00	$5.00		40131	$40	
			-0.049598693			0.01667	$16.00	$1.00	$6.00		11140	$11	
			-0.04949			0.00000	$0.00	$0.00	#VALUE!		42113	$42	
			-0.04906616			-0.02426	$24.00	$2.00	$4.00		7857	$78	
			-0.04899			-0.00874	$87.00	$8.00	$7.00		3478	$34	
			-0.04895			0.02576	$25.00	$2.00	$5.00		176	$17	
			-0.04895			0.00793	$79.00	$7.00	$9.00		7987	$79	
			-0.04887			0.00000	$0.00	$0.00	#VALUE!		27087	$27	
			-0.04860			-0.02426	$24.00	$2.00	$4.00		9285	$92	
			-0.04851			0.00806	$80.00	$8.00	$0.00		16964	$16	
			-0.048337826			-0.01667	$16.00	$1.00	$6.00		1931	$19	
			-0.04832			0.00881	$88.00	$8.00	$8.00		4265	$42	
